"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Weekday"	"Weekday Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Sunday"	"1"	367	Not Applicable	Not Applicable
	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Monday"	"2"	356	Not Applicable	Not Applicable
	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Tuesday"	"3"	321	Not Applicable	Not Applicable
	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Wednesday"	"4"	321	Not Applicable	Not Applicable
	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Thursday"	"5"	326	Not Applicable	Not Applicable
	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Friday"	"6"	382	Not Applicable	Not Applicable
	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Saturday"	"7"	325	Not Applicable	Not Applicable
	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Sunday"	"1"	294	Not Applicable	Not Applicable
	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Monday"	"2"	361	Not Applicable	Not Applicable
	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Tuesday"	"3"	332	Not Applicable	Not Applicable
	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Wednesday"	"4"	345	Not Applicable	Not Applicable
	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Thursday"	"5"	305	Not Applicable	Not Applicable
	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Friday"	"6"	291	Not Applicable	Not Applicable
	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Saturday"	"7"	283	Not Applicable	Not Applicable
	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Sunday"	"1"	273	Not Applicable	Not Applicable
	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Monday"	"2"	409	Not Applicable	Not Applicable
	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Tuesday"	"3"	408	Not Applicable	Not Applicable
	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Wednesday"	"4"	393	Not Applicable	Not Applicable
	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Thursday"	"5"	325	Not Applicable	Not Applicable
	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Friday"	"6"	284	Not Applicable	Not Applicable
	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Saturday"	"7"	262	Not Applicable	Not Applicable
	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Sunday"	"1"	317	Not Applicable	Not Applicable
	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Monday"	"2"	341	Not Applicable	Not Applicable
	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Tuesday"	"3"	348	Not Applicable	Not Applicable
	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Wednesday"	"4"	341	Not Applicable	Not Applicable
	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Thursday"	"5"	390	Not Applicable	Not Applicable
	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Friday"	"6"	364	Not Applicable	Not Applicable
	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Saturday"	"7"	280	Not Applicable	Not Applicable
	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"May, 1999"	"1999/05"	"Sunday"	"1"	389	Not Applicable	Not Applicable
	"1999"	"1999"	"May, 1999"	"1999/05"	"Monday"	"2"	402	Not Applicable	Not Applicable
	"1999"	"1999"	"May, 1999"	"1999/05"	"Tuesday"	"3"	326	Not Applicable	Not Applicable
	"1999"	"1999"	"May, 1999"	"1999/05"	"Wednesday"	"4"	273	Not Applicable	Not Applicable
	"1999"	"1999"	"May, 1999"	"1999/05"	"Thursday"	"5"	315	Not Applicable	Not Applicable
	"1999"	"1999"	"May, 1999"	"1999/05"	"Friday"	"6"	333	Not Applicable	Not Applicable
	"1999"	"1999"	"May, 1999"	"1999/05"	"Saturday"	"7"	395	Not Applicable	Not Applicable
	"1999"	"1999"	"May, 1999"	"1999/05"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Sunday"	"1"	302	Not Applicable	Not Applicable
	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Monday"	"2"	335	Not Applicable	Not Applicable
	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Tuesday"	"3"	441	Not Applicable	Not Applicable
	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Wednesday"	"4"	413	Not Applicable	Not Applicable
	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Thursday"	"5"	306	Not Applicable	Not Applicable
	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Friday"	"6"	282	Not Applicable	Not Applicable
	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Saturday"	"7"	294	Not Applicable	Not Applicable
	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Sunday"	"1"	318	Not Applicable	Not Applicable
	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Monday"	"2"	365	Not Applicable	Not Applicable
	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Tuesday"	"3"	343	Not Applicable	Not Applicable
	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Wednesday"	"4"	326	Not Applicable	Not Applicable
	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Thursday"	"5"	401	Not Applicable	Not Applicable
	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Friday"	"6"	369	Not Applicable	Not Applicable
	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Saturday"	"7"	362	Not Applicable	Not Applicable
	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Sunday"	"1"	402	Not Applicable	Not Applicable
	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Monday"	"2"	427	Not Applicable	Not Applicable
	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Tuesday"	"3"	432	Not Applicable	Not Applicable
	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Wednesday"	"4"	321	Not Applicable	Not Applicable
	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Thursday"	"5"	321	Not Applicable	Not Applicable
	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Friday"	"6"	306	Not Applicable	Not Applicable
	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Saturday"	"7"	304	Not Applicable	Not Applicable
	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Sep., 1999"	"1999/09"	"Sunday"	"1"	308	Not Applicable	Not Applicable
	"1999"	"1999"	"Sep., 1999"	"1999/09"	"Monday"	"2"	290	Not Applicable	Not Applicable
	"1999"	"1999"	"Sep., 1999"	"1999/09"	"Tuesday"	"3"	331	Not Applicable	Not Applicable
	"1999"	"1999"	"Sep., 1999"	"1999/09"	"Wednesday"	"4"	368	Not Applicable	Not Applicable
